Time,Length
22.816701,1048
22.816702,1466
22.816702,1466
22.816702,1466
22.816703,1466
22.816703,1466
22.816703,1362
22.816704,1034
22.816748,54
22.817604,124
22.818117,1392
22.825193,58
22.825254,54
22.825491,571
22.827601,54
22.8289,1466
22.829026,1466
22.82907,54
22.829306,598
22.832383,66
22.832469,54
22.832704,571
22.834307,147
22.834506,153
22.834764,834
22.834824,171
22.835536,58
22.835602,54
22.835798,571
22.839832,58
22.840036,54
22.840542,571
22.847579,54
22.85007,256
22.850132,54
22.852676,1466
22.852677,1466
22.852722,54
22.852915,1466
22.853252,1466
22.853253,1466
22.853253,1466
22.853254,1466
22.853254,1466
22.853255,1466
22.853256,1466
22.853256,1466
22.853308,54
22.853358,1466
22.85336,598
22.853361,346
22.853362,123
22.853418,54
22.853445,54
22.853486,1466
22.853487,1466
22.853521,54
22.853745,92
22.855531,78
22.855532,92
22.859706,147
22.85992,153
22.860242,759
22.860331,161
22.860775,54
22.860892,1354
22.861408,1354
22.861409,317
22.861451,54
22.862289,1392
22.86229,1392
22.86371,78
22.864761,1466
22.864925,78
22.864973,574
22.865017,54
22.868043,1392
22.868378,1135
22.86883,1392
22.868876,54
22.868876,1354
22.868949,1392
22.869035,1354
22.869035,317
22.869072,54
22.870137,78
22.874656,180
22.875259,54
22.876767,180
22.877155,54
22.877156,1354
22.877157,1354
22.877158,316
22.877231,54
22.877884,1392
22.879254,346
22.879255,123
22.879353,54
22.880615,180
22.88125,92
22.88162,1466
22.881621,1466
22.881622,1466
22.881622,1466
22.881622,1466
22.881623,1466
22.881623,669
22.882032,1130
22.882319,1466
22.88232,1466
22.882321,1466
22.882321,1466
22.882321,1466
22.882321,1466
22.882322,670
22.883433,92
22.883569,1466
22.883569,1466
22.88357,1466
22.88357,1466
22.883571,1466
22.883571,1466
22.883572,670
22.884117,1466
22.884117,857
22.888587,129
22.888889,129
22.889076,66
22.891157,54
22.895368,54
22.908195,655
22.908345,173
22.908379,54
22.908462,100
22.908462,66
22.908462,54
22.908529,54
22.909286,437
22.909298,571
22.909332,54
22.90946,135
22.909538,312
22.909651,92
22.909672,54
22.909894,100
22.912049,312
22.912126,78
22.915883,54
22.916139,54
22.916241,312
22.918599,1354
22.918649,54
22.91875,1392
22.918907,1354
22.918909,1354
22.918909,362
22.91893,54
22.919253,70
22.919934,54
22.920112,54
22.921448,78
22.924697,77
22.927528,78
22.929216,1466
22.929217,1466
22.929273,54
22.929362,1392
22.929428,1466
22.92943,1466
22.929431,1466
22.929431,1466
22.929432,1466
22.929433,1466
22.929434,1466
22.929434,1466
22.929435,1466
22.929437,1466
22.929437,1466
22.92948,54
22.929824,70
22.930073,1466
22.930074,1466
22.930075,1466
22.930095,54
22.930245,54
22.932831,1466
22.933312,1466
22.933364,54
22.933711,598
22.934198,54
22.935052,134
22.93549,66
22.936798,1009
22.937001,135
22.937037,54
22.938113,92
22.938113,100
22.938113,135
22.938114,92
22.938184,54
22.938246,1354
22.938275,54
22.939222,1354
22.939223,1354
22.939225,346
22.939226,1354
22.939227,1354
22.939228,1354
22.939229,346
22.939331,54
22.939391,54
22.940198,100
22.941667,147
22.942769,153
22.943071,62
22.94321,825
22.95006,77
22.952665,62
22.959517,346
22.959517,123
22.959586,54
22.959738,92
22.961828,54
22.961968,54
22.963157,687
22.96334,92
